module,file,line_number,line_content
clang,./llvm-project/clang/tools/cir-opt/cir-opt.cpp,10,"// arguments. TODO: this is basically a copy from MlirOptMain.cpp, but capable"
clang,./llvm-project/clang/tools/cir-opt/cir-opt.cpp,34,// TODO: register needed MLIR passes for CIR?
clang,./llvm-project/clang/tools/clang-refactor/ClangRefactor.cpp,241,// FIXME: cl::Required can be specified when this option is present
clang,./llvm-project/clang/tools/clang-refactor/ClangRefactor.cpp,485,// FIXME: Add automatic formatting support as well.
clang,./llvm-project/clang/tools/clang-refactor/ClangRefactor.cpp,487,// FIXME: We should probably cleanup the result by default as well.
clang,./llvm-project/clang/tools/libclang/CursorVisitor.h,114,// FIXME: Eventually remove.  This part of a hack to support proper
clang,./llvm-project/clang/tools/libclang/CursorVisitor.h,240,// FIXME: ObjCCompatibleAliasDecl requires aliased-class locations.
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,71,// FIXME: Fail more softly if the diagnostic level is unknown?
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,114,// FIXME: possibly refactor with logic in CXStoredDiagnostic.
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,325,// FIXME: Why do we care about long strings?
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,333,// FIXME: Why do we care about long strings?
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,343,// FIXME: Why do we care about long strings?
clang,./llvm-project/clang/tools/libclang/CXLoadedDiagnostic.cpp,369,// FIXME: Why do we care about long strings?
clang,./llvm-project/clang/tools/libclang/Indexing.cpp,307,// TODO: accept Context as IntrusiveRefCntPtr?
clang,./llvm-project/clang/tools/libclang/Indexing.cpp,513,CIOpts.ProbePrecompiled = true; // FIXME: historical default. Needed?
clang,./llvm-project/clang/tools/libclang/Indexing.cpp,601,// FIXME: Add a flag for modules.
clang,./llvm-project/clang/tools/libclang/Indexing.cpp,648,// FIXME: Only deserialize inclusion directives.
clang,./llvm-project/clang/tools/libclang/CXCursor.cpp,429,// TODO: add support for MatrixSubscriptExpr.
clang,./llvm-project/clang/tools/libclang/CXCursor.cpp,1353,// FIXME: Remove once we can model DeclGroups and their appropriate ranges
clang,./llvm-project/clang/tools/libclang/CXCursor.cpp,1532,// FIXME: Expose these values.
clang,./llvm-project/clang/tools/libclang/CXCompilationDatabase.cpp,9,// FIXME: do something more useful with the error message
clang,./llvm-project/clang/tools/libclang/CIndexer.h,132,/// FIXME: Move to llvm/Support.
